,sort_shap_score,sort_shap_feat_name,sort_shap_x_name
112,3.4957599132345267,DMI_t-19,X12_t-19
113,3.310414655193175,radiation_mean_t-18,X4_t-18
114,3.284830201782396,NINO 12_t-12,X8_t-12
115,3.2474442423155065,SOI_t-9,X7_t-9
116,3.1820446050520848,DMI_t-17,X12_t-17
117,3.1433669529290658,DMI_t-14,X12_t-14
118,3.1377379728760904,rh_tmin_mean_t-16,X6_t-16
119,3.112966026476107,radiation_mean_t-19,X4_t-19
120,3.10105026492268,DMI_t-18,X12_t-18
121,2.890391208554832,rh_tmin_mean_t-13,X6_t-13
122,2.6076790795594156,max_temp_mean_t-11,X2_t-11
123,2.607407257149234,rh_tmin_mean_t-15,X6_t-15
124,2.4877042461223233,DMI_t-13,X12_t-13
125,2.4791749577663693,NINO 3.4_t-10,X10_t-10
126,2.4401630888701353,rh_tmin_mean_t-14,X6_t-14
127,2.389977833849978,NINO 12_t-11,X8_t-11
128,2.3859649778126193,PDO_t-8,X13_t-8
129,2.381351726481622,max_temp_mean_t-12,X2_t-12
130,2.3664997647572177,NINO 3_t-10,X9_t-10
131,2.3239567819364817,PDO_t-9,X13_t-9
132,2.2357698512612876,rh_tmin_mean_t-9,X6_t-9
133,2.2141341010268967,NINO 4_t-9,X11_t-9
134,2.214078064935228,DMI_t-12,X12_t-12
135,2.156605381801611,NINO 12_t-10,X8_t-10
136,2.1356471304262343,min_temp_mean_t-9,X3_t-9
137,2.035109296940809,rh_tmax_mean_t-9,X5_t-9
138,2.0149603422802427,min_temp_mean_t-8,X3_t-8
139,1.9863175910938455,SOI_t-8,X7_t-8
140,1.868238653951359,rh_tmax_mean_t-8,X5_t-8
141,1.8559272897204522,DMI_t-9,X12_t-9
142,1.7859105175733767,rh_tmin_mean_t-8,X6_t-8
143,1.7672352398025006,NINO 12_t-9,X8_t-9
144,1.6985372242792363,NINO 4_t-8,X11_t-8
145,1.6460079888569517,DMI_t-8,X12_t-8
146,1.5970351716995212,max_temp_mean_t-10,X2_t-10
147,1.4013737684390613,max_temp_mean_t-9,X2_t-9
148,1.2661327648726823,NINO 12_t-8,X8_t-8
149,1.2143393053697782,NINO 3_t-9,X9_t-9
150,1.2007008684043674,radiation_mean_t-9,X4_t-9
151,1.0891546569394563,NINO 3.4_t-9,X10_t-9
152,0.8718383864960879,max_temp_mean_t-8,X2_t-8
153,0.7396115654921364,radiation_mean_t-8,X4_t-8
154,0.6769885989176713,NINO 3_t-8,X9_t-8
155,0.5486402238378032,NINO 3.4_t-8,X10_t-8
