,sort_time_name,sort_time_shap,sort_time_index
0,t-12,45.64231663386372,7
1,t-13,39.83084013683091,6
2,t-17,37.187393853507814,2
3,t-14,35.703450253903696,5
4,t-11,34.386681686387035,8
5,t-18,33.122606823497264,1
6,t-15,31.904715992556955,4
7,t-19,28.59498097934417,0
8,t-16,27.695757722773777,3
9,t-10,18.386705801622348,9
10,t-9,9.495701700104203,10
11,t-8,7.933451548219875,11
