,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,616.3,288.1,25.52666667,25.451612899999997,19.00322581,519.3,21.12666667,19.67096774,9.1,34.08064516,64.49032258,0.0865,44.88333333,24.68064516,197.4,60.95806452,33.94666667,-0.339909,0.0,66.93214286
1,525.8,261.5,25.09333333,25.38064516,18.2,387.2,19.5,18.51935484,4.4,33.54193548,67.81290323,-0.287354,43.16333333,24.3483871,246.3,63.70645161,34.29666667,-0.22817800000000002,0.0,64.36428571
2,194.3,377.7,25.04,25.01612903,18.02580645,230.5,19.54666667,18.41612903,1.1,33.38709677,63.09032258,0.24043699999999998,44.02666667,24.29354839,246.3,62.80322581,34.08,0.24048000000000003,0.0,66.75862069
3,443.9,377.7,25.66666667,25.09032258,19.15806452,418.0,19.62666667,19.82258065,13.8,33.70645161,66.8,-0.753283,40.6,24.80645161,182.5,62.14516129,34.24666667,-0.955858,0.0,69.85714286
4,525.8,169.8,25.15,25.49032258,18.66129032,188.7,19.06333333,19.34193548,-14.5,33.56129032,67.87419355,0.798477,40.64666667,24.16451613,129.9,60.00967742,34.16666667,0.633492,0.0,64.475
5,443.9,132.5,25.36666667,25.21612903,18.51612903,209.0,19.34333333,19.88387097,1.1,34.20967742,66.60645161,0.162796,43.76,24.70967742,246.4,61.85806452,34.36666667,0.0188,0.1,62.80357143
6,130.3,346.2,24.84666667,25.62580645,18.76451613,302.8,20.26,19.36451613,10.5,33.96451613,61.0,0.28367600000000004,45.93333333,24.97741935,142.0,58.14516129,33.99,0.386801,0.0,65.41724138
7,443.8,410.8,25.56,25.6516129,18.92258065,387.2,19.05,19.95806452,18.0,33.96129032,63.04516129,-0.139374,38.97333333,25.46774194,197.4,60.35806452,34.24666667,-0.297869,0.0,65.51071429
8,95.9,481.9,26.01,25.11935484,17.89677419,253.3,18.72,20.06774194,7.7,33.77096774,62.96774194,0.5621659999999999,39.00666667,24.59354839,229.3,59.11290323,34.76666667,0.527241,0.0,67.95714286
9,483.9,34.3,25.23666667,25.12580645,19.32903226,302.9,18.82333333,19.9483871,-14.9,33.67096774,66.02903226,1.01508,40.4,24.54193548,154.8,61.8516129,33.69666667,0.769491,0.2,60.45
10,303.9,212.8,25.04666667,25.08387097,19.32903226,387.3,20.95333333,20.14193548,-3.6,33.32580645,62.69032258,-0.24018299999999998,44.68,24.08709677,142.0,59.32580645,33.45,-0.339918,0.0,62.27586207
11,194.2,377.6,25.01,25.23225806,17.78064516,329.6,20.3,19.50645161,4.9,33.93548387,61.49677419,-0.157383,41.93333333,24.99032258,483.9,63.26451613,33.92,-0.0266,0.0,66.31785714
12,405.9,316.4,24.99333333,24.83225806,18.52258065,329.6,19.88,20.04516129,0.1,33.88064516,65.16129032,-0.8623430000000001,41.43333333,24.6,342.5,63.62258065,33.61,-1.00368,0.0,68.15
13,405.9,212.7,25.73,25.73548387,19.3483871,357.7,20.24666667,19.50645161,-4.6,33.57096774,65.11612903,-0.0443,43.44333333,24.77741935,41.6,56.29032258,33.54333333,-0.322639,0.0,63.92142857
14,336.0,346.2,25.76333333,25.55806452,18.27419355,209.0,19.15,20.05483871,0.6,33.45806452,65.73548387,0.25554699999999997,43.59333333,24.64193548,129.9,57.49032258,34.04333333,0.191452,0.0,64.72413793
