,sort_time_name,sort_time_shap,sort_time_index
0,t-12,26.89454483803035,6
1,t-11,18.764994040748256,7
2,t-18,18.588266293641542,0
3,t-13,16.739485779270915,5
4,t-17,13.573931269301813,1
5,t-16,8.082501653398248,2
6,t-15,7.869666948313813,3
7,t-14,7.656930765780809,4
8,t-10,5.825706356494963,8
9,t-9,1.855096337383092,9
10,t-8,1.2270182131580487,10
11,t-7,1.014138304317033,11
